serial_number;product_name;product_number;inizio_garanzia;fine_garanzia;etichetta;note;smaltito;aula;marca;tipo;macaddress(separare con virgole);note (separare con virgole)
21OBN18Ai049;;P61212;0000-00-00;0000-00-00;MonServ;15" monitor server;0;Magazzino;Compaq;Monitor
S4RM817;M90 Desktop (ThinkCentre);5485W9N;2010-08-25;2013-08-24;;;0;Magazzino;Lenovo;Desktop
V698466;ThinkVision L1940p 19-inch Wide Monitor;4424HB6;2009-06-05;2012-06-04;;imballato
;0;Magazzino;Lenovo;Monitor
CNC302PTLL;HP CPQ LA2006x 20-In LED LCD ALL;XN374AA;2013-03-01;2016-03-30;MonSegt2;;0;Segreteria;HP;Monitor
CZC3216NTT;HP Compaq Elite 8300 CMT PC ALL;QV993AV;2013-05-25;2016-06-23;Client8984;;0;Segreteria;HP;Desktop
6500396100;;MX-4141N;0000-00-00;0000-00-00;Seg COL19;;0;Segreteria;SHARP;Stampante
CNC302PRFH;HP CPQ LA2006x 20-In LED LCD ALL;XN374AA;2013-03-01;2016-03-30;MonSegt1;;0;Segreteria;HP;Monitor
CZC3186LTC;HP Compaq Elite 8300 SFF PC ALL;QV996AV;2013-05-09;2016-06-07;ClientSeg1;;0;Segreteria;HP;Desktop
CNC302PSH3;HP CPQ LA2006x 20-In LED LCD ALL;XN374AA;2013-03-01;2016-03-30;MonSegt3;;0;Segreteria;HP;Monitor
CNC302PTWJ;HP CPQ LA2006x 20-In LED LCD ALL;XN374AA;2013-03-01;2016-03-30;Monitor13;;0;Segreteria;HP;Monitor
